datum	tmin	tmax	rhmin	rhmax	solar	wind
2014-01-18	8.6	14	66	85	2.867	0.603153944
2014-01-19	4.3	12.3	70	96	1.129	0.218026625
2014-01-20	7.4	12.3	78	99	2.734	0.163773132
2014-01-21	2.2	11.6	67	97	3.325	0.063946764
2014-01-22	1.8	5.5	85	96	1.764	0.231626146
2014-01-23	0.9	3.9	94	98	0.704	0.110821757
2014-01-24	-1.1	1.1	95	99	0.104	0.017939813
2014-01-25	-6.6	1.5	56	100	3.626	0.126302069
2014-01-26	-8.9	-4.2	73	88	3.840	0.262008118
2014-01-27	-7.9	-2.8	81	94	2.353	0.289930563
2014-01-28	-4.6	-1.1	81	96	0.935	0.105324056
2014-01-29	-4	-0.2	78	97	0.896	0.18359375
2014-01-30	-7.7	-0.9	87	96	0.344	0.104890028
2014-01-31	-2.9	-0.8	92	96	0.264	0.268518535
2014-02-01	-4.6	-2.2	86	94	0.228	0.288339104
2014-02-02	-2.5	0.2	94	98	0.235	0.144241882
2014-02-03	-2.1	-0.4	91	97	0.605	0.023292813
2014-02-04	-2	-0.8	89	97	0.446	0.10792825
2014-02-05	-1.7	1	95	99	0.568	0.131221076
2014-02-06	-2.2	4.6	94	100	1.108	0.076099535
2014-02-07	-3.4	11.1	55	100	5.924	0.494212951
2014-02-08	3.6	8.7	64	96	3.524	0.458188667
2014-02-09	0.1	11.5	64	98	1.599	0.398003493
2014-02-10	-3	9.5	64	100	3.880	0.089988431
2014-02-11	4.5	7.5	90	98	1.491	0.151620347
2014-02-12	-0.9	5.3	89	98	2.710	0.024305542
2014-02-13	-3.6	11.1	53	100	7.641	0.313946778
2014-02-14	1.6	11.9	29	97	8.985	0.366898194
2014-02-15	4.4	12.6	36	75	7.130	0.901331007
2014-02-16	5.1	15.4	58	92	5.344	0.864004653
2014-02-17	0.4	5.2	91	98	2.249	0.106192118
2014-02-18	-1.4	6	94	100	3.483	0.018084486
2014-02-19	2.3	12	82	99	3.352	0.202401611
2014-02-20	3.3	11.3	60	96	5.602	0.118778924
2014-02-21	4.4	11.5	71	96	7.180	0.301504604
2014-02-22	4.5	7	86	97	1.273	0.127025451
2014-02-23	4.1	9.5	49	90	2.762	0.361111097
2014-02-24	1.1	13.1	43	92	10.071	0.397569458
2014-02-25	-1.1	11.2	58	99	10.562	0.522135417
2014-02-26	-0.6	13.6	50	99	7.457	0.599247681
2014-02-27	2.8	16.2	39	86	9.673	0.566550917
2014-02-28	5.6	12.2	42	73	7.358	0.617766201
2014-03-01	0	14.5	42	95	8.438	0.371093764
2014-03-02	4	10	62	85	4.494	0.570457111
2014-03-03	2.3	7.2	81	96	3.658	0.248842569
2014-03-04	4.8	7.9	78	97	2.170	0.358796271
2014-03-05	5.7	13.3	39	85	8.391	0.905671292
2014-03-06	7.5	10.1	56	65	3.299	1.055700208
2014-03-07	3.3	12.6	46	81	11.609	0.431568292
2014-03-08	1.4	14	42	87	10.498	0.451099556
2014-03-09	-0.4	14.1	41	92	12.365	0.537615729
2014-03-10	2.5	12.8	41	86	9.751	0.609953639
2014-03-11	0	15.6	16	91	12.983	0.749855333
2014-03-12	-0.8	17.9	25	84	12.572	0.605324076
2014-03-13	-0.9	17.3	31	89	12.980	0.476707181
2014-03-14	-0.4	20.4	26	96	13.146	0.409866903
2014-03-15	1.3	17.6	39	94	5.796	0.597945597
2014-03-16	6.7	20.8	29	72	12.854	1.393084479
2014-03-17	3.7	24.2	20	87	14.496	0.431712951
2014-03-18	2.5	21	32	96	14.053	0.405526611
2014-03-19	6.5	18.3	21	88	14.399	1.102430556
2014-03-20	1.8	20.9	24	88	15.047	0.572048576
2014-03-21	2	21.4	26	93	13.918	1.017795125
2014-03-22	11.4	18.5	42	67	14.261	1.362557896
2014-03-23	6.8	16.4	52	93	4.156	0.836226833
2014-03-24	2	11.7	40	94	8.894	0.596643479
2014-03-25	-0.8	11.1	39	97	8.799	0.455729153
2014-03-26	2.1	12.4	38	95	9.082	0.480758111
2014-03-27	3.7	12.5	55	82	4.935	0.490306736
2014-03-28	6.2	17.8	26	80	15.474	0.793258076
2014-03-29	1.6	20.9	29	94	16.337	0.463975708
2014-03-30	1.6	22.5	25	96	16.246	0.337962958
2014-03-31	4.1	21.7	28	94	12.694	0.362847208
2014-04-01	4.8	21	34	95	14.994	0.429108799
2014-04-02	4.9	22	27	97	16.061	0.521701389
2014-04-03	4	19.4	41	95	9.456	0.31886575
2014-04-04	6.9	22.1	30	95	14.764	0.414930583
2014-04-05	12.2	19.5	47	94	8.326	0.449363444
2014-04-06	8.9	20.3	52	98	10.501	0.304976847
2014-04-07	6.8	22.5	32	99	17.391	0.429253472
2014-04-08	5.9	25.6	33	98	15.129	0.463396979
2014-04-09	6	15.5	25	94	16.731	0.970052056
2014-04-10	1.9	15.2	40	91	10.032	0.428385417
2014-04-11	2.5	16.8	32	93	16.588	0.384114583
2014-04-12	2.5	16.8	41	96	11.623	0.263454819
2014-04-13	3.3	17.4	39	98	10.814	0.323206014
2014-04-14	2.3	20.7	34	98	10.667	0.357494215
2014-04-15	4.3	11.8	29	92	9.603	1.006076361
2014-04-16	0.3	12.5	35	84	12.930	1.176070569
2014-04-17	4.8	11.7	38	59	6.676	1.003038181
2014-04-18	1.1	19.8	31	92	18.967	0.538194417
2014-04-19	9.6	20.4	39	94	13.046	0.544415507
2014-04-20	9.2	12.9	85	96	7.297	0.101707139
2014-04-21	9.4	17.3	70	98	6.894	0.194010382
2014-04-22	10.3	21.4	46	98	19.968	0.301938653
2014-04-23	11.3	20.8	50	93	10.760	0.403067104
2014-04-24	13.2	21.1	51	92	9.733	0.401765028
2014-04-25	12.7	15.4	88	97	3.508	0.139467597
2014-04-26	12.9	17.5	69	98	9.474	0.160734938
2014-04-27	10.8	22	45	98	15.644	0.286603014
2014-04-28	9.3	20.2	48	98	10.639	0.219184014
2014-04-29	10.7	19.5	53	91	7.822	0.293836806
2014-04-30	8.7	22	44	96	14.910	0.314525444
2014-05-01	8	23.3	38	97	17.238	0.337528951
2014-05-02	6.6	23.5	32	98	15.973	0.294704833
2014-05-03	8	14.9	66	98	4.863	0.439091403
2014-05-04	5.1	16.3	27	78	24.100	1.776620354
2014-05-05	1.9	17.6	34	94	22.689	0.364728007
2014-05-06	2.4	21.7	30	97	21.885	0.359809021
2014-05-07	8.9	21.4	39	95	13.615	0.61805559
2014-05-08	9.1	22.5	35	98	18.375	0.287615729
2014-05-09	6.4	24.5	39	98	20.771	0.29166666
2014-05-10	12.3	23.8	45	97	22.446	0.482494229
2014-05-11	6.4	22.4	52	96	9.005	0.492042833
2014-05-12	5.6	19.2	30	95	21.669	0.409432882
2014-05-13	6.8	13.2	67	96	7.958	0.500868063
2014-05-14	5.9	16.4	35	97	16.377	1.655381924
2014-05-15	9.2	13.5	38	78	7.237	2.780237292
2014-05-16	8.2	12.1	56	90	3.130	1.261574069
2014-05-17	7.8	14.3	70	96	6.117	0.093026611
2014-05-18	9.2	19.4	52	98	13.859	0.254484951
2014-05-19	6.5	23.5	36	99	24.101	0.723668965
2014-05-20	8.4	24.9	31	97	24.345	0.641203681
2014-05-21	9.1	26.3	38	96	23.531	0.372106486
2014-05-22	11.5	28	40	96	22.481	0.522858757
2014-05-23	14.3	28.6	33	86	19.746	0.525318257
2014-05-24	14.5	27.9	27	97	22.822	0.375868035
2014-05-25	13.2	26.3	40	95	15.429	0.381076389
2014-05-26	12.2	26.1	45	98	13.500	0.262731472
2014-05-27	12.4	24	33	99	24.927	0.728443271
2014-05-28	13.1	17.3	58	90	9.378	0.362847222
2014-05-29	12.3	21	40	92	16.382	0.600549729
2014-05-30	8.4	17.7	37	92	18.791	0.469618076
2014-05-31	7.4	18.8	37	86	12.522	0.638888861
2014-06-01	11.4	20.6	40	84	12.388	0.349826389
2014-06-02	9.6	22.4	32	89	17.204	0.438802076
2014-06-03	9.8	23.2	36	97	15.527	0.315827542
2014-06-04	7.8	24.1	36	99	24.353	0.358506924
2014-06-05	10.6	22.1	56	97	10.686	0.464409722
2014-06-06	10.4	27.2	37	97	24.933	0.307146993
2014-06-07	11.6	30	36	98	23.412	0.186487271
2014-06-08	14.3	31.3	32	97	24.273	0.254484944
2014-06-09	15.4	32.1	27	97	24.640	0.238136569
2014-06-10	14.4	33	27	97	24.749	0.314380757
2014-06-11	15.8	35	15	97	24.587	0.382378458
2014-06-12	17	30.6	39	92	12.371	0.353009243
2014-06-13	15	27.5	40	97	17.611	0.21368634
2014-06-14	14.3	23.9	41	96	20.362	0.210069451
